Finanzplanung ML Software Solutions GmbH,,,,,

1. Investitionsbedarf,,,,,
Position,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Gesamt
Gründungskosten,2000,0,0,0,2000
Stammkapital,25000,0,0,0,25000
Softwareentwicklung,100000,75000,75000,50000,300000
Marketing und Vertrieb,37500,37500,37500,37500,150000
Personal,100000,100000,100000,100000,400000
Infrastruktur,70000,10000,10000,10000,100000
Gesamt,334500,222500,222500,197500,977000

2. Umsatzplanung,,,,,
Paket,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Gesamt
Basis-Pakete,29925,47880,59880,71856,209541
Premium-Pakete,35964,47952,59940,71928,215784
Enterprise-Kunden,84111,104111,100179,86216,374617
Gesamt,150000,200000,220000,230000,800000

3. Liquiditätsplanung,,,,,
Position,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Gesamt
Anfangsbestand,0,892805,835610,813415,0
Einzahlungen,,,,,
Eigenkapital,250000,0,0,0,250000
Bankkredit,727000,0,0,0,727000
Umsatzerlöse,150000,200000,220000,230000,800000
Summe Einzahlungen,1127000,200000,220000,230000,1777000

Auszahlungen,,,,,
Investitionen,334500,222500,222500,197500,977000
Personalkosten,100000,100000,100000,100000,400000
Marketing,37500,37500,37500,37500,150000
Miete & Infrastruktur,25000,25000,25000,25000,100000
Zinsen,9087,9087,9087,9087,36348
Summe Auszahlungen,506087,394087,394087,369087,1663348

Liquidität Ende,892805,835610,813415,826220,826220

4. Rentabilitätsplanung,,,,,
Position,2024,2025,2026,,
Umsatzerlöse,800000,1500000,2500000,,
Personalaufwand,-400000,-600000,-800000,,
Marketing,-150000,-200000,-250000,,
Infrastruktur,-100000,-150000,-200000,,
Zinsen,-36348,-36348,-36348,,
Abschreibungen,-50000,-50000,-50000,,
Ergebnis vor Steuern,63652,463652,1163652,,
Steuern (30%),-19096,-139096,-349096,,
Jahresüberschuss,44556,324556,814556,, 